Date,totalnetwork_115,totalnetwork_230,totalnetwork_424,totalnetwork_460
2011/11/14,0.320373406,0.355545164,,
2011/11/15,0.314836586,0.367733287,,
2011/11/16,0.349971633,0.382229665,,
2011/11/17,0.341620943,0.383769314,,
2011/11/18,0.362096741,0.383230707,,
2011/11/21,0.398875046,0.370201776,,
2011/11/22,0.275911227,0.308155368,,
2011/11/23,0.312248624,0.314402703,,
2011/11/25,0.242918027,0.289682714,,
2011/11/28,0.323432711,0.300189809,,
2011/11/29,0.4270997,0.29461682,,
2011/11/30,0.474727858,0.278190404,,
2011/12/1,0.4229913,0.291935778,,
2011/12/2,0.380326236,0.30111892,,
2011/12/5,0.301182342,0.276044713,,
2011/12/6,0.300434792,0.258397152,,
2011/12/7,0.298563617,0.267192603,,
2011/12/8,0.281722387,0.266288396,,
2011/12/9,0.194984873,0.238277937,,
2011/12/12,0.204988484,0.231552264,,
2011/12/13,0.164889785,0.202904672,,
2011/12/14,0.201584511,0.209792475,,
2011/12/15,0.223936933,0.216862012,,
2011/12/16,0.23057153,0.251658105,,
2011/12/19,0.244670068,0.275594485,,
2011/12/20,0.367638715,0.273596118,,
2011/12/21,0.378884173,0.300822773,,
2011/12/22,0.403691041,0.273259589,,
2011/12/23,0.401501138,0.26847854,,
2011/12/29,0.416232639,0.269561136,,
2011/12/30,0.376711145,0.290387926,,
2012/1/4,0.307291041,0.231544758,,
2012/1/5,0.462139875,0.250215711,,
2012/1/6,0.430344667,0.242825649,,
2012/1/9,0.458732261,0.272516763,,
2012/1/10,0.451097946,0.284504739,,
2012/1/11,0.458897642,0.346559273,,
2012/1/12,0.48824461,0.339495037,,
2012/1/13,0.46866211,0.328541186,,
2012/1/17,0.412751858,0.305693744,,
2012/1/18,0.519210006,0.317632369,,
2012/1/19,0.519395659,0.306757018,,
2012/1/20,0.504829695,0.289880045,,
2012/1/30,0.515243219,0.296470494,,
2012/1/31,0.536810903,0.2797423,,
2012/2/1,0.538946077,0.3027307,,
2012/2/2,0.567142557,0.303504906,,
2012/2/3,0.589675021,0.297349934,,
2012/2/6,0.60567022,0.300074248,,
2012/2/7,0.563660597,0.333756902,,
2012/2/8,0.566721899,0.31466251,,
2012/2/9,0.60188324,0.26992062,,
2012/2/10,0.611958623,0.269702055,,
2012/2/13,0.594172111,0.252122827,,
2012/2/14,0.507645336,0.265343249,,
2012/2/15,0.534224199,0.283123384,,
2012/2/16,0.547340425,0.280614504,,
2012/2/17,0.574852644,0.278466082,,
2012/2/21,0.587752864,0.282500107,,
2012/2/22,0.577781359,0.255964884,,
2012/2/23,0.580010639,0.246515623,,
2012/2/24,0.501818118,0.248134419,,
2012/2/27,0.445026177,0.259594062,,
2012/2/28,0.447647467,0.262141343,,
2012/2/29,0.427310693,0.257372003,,
2012/3/1,0.419757754,0.265212823,,
2012/3/2,0.450373332,0.287679227,,
2012/3/5,0.41635668,0.303482721,,
2012/3/6,0.312233825,0.27002722,,
2012/3/7,0.359317702,0.291963419,,
2012/3/8,0.374071047,0.270424261,,
2012/3/9,0.38740343,0.253639759,,
2012/3/12,0.420771478,0.263467378,,
2012/3/13,0.411823172,0.271018131,,
2012/3/14,0.441386637,0.262633138,,
2012/3/15,0.422586386,0.233136301,,
2012/3/16,0.400377696,0.209483022,,
2012/3/19,0.350642186,0.227259592,,
2012/3/20,0.409452457,0.241680094,,
2012/3/21,0.407870281,0.233836983,,
2012/3/22,0.368175101,0.250307125,,
2012/3/23,0.342532805,0.251069606,,
2012/3/26,0.334286078,0.229238761,,
2012/3/27,0.370184086,0.225338223,,
2012/3/28,0.361179771,0.197335089,,
2012/3/29,0.398145603,0.28162087,,
2012/3/30,0.442845771,0.29032027,,
2012/4/5,0.483116113,0.291848929,,
2012/4/11,0.489012,0.294262277,,
2012/4/12,0.498766956,0.305647592,,
2012/4/13,0.384942671,0.309831832,,
2012/4/16,0.384911037,0.303186081,,
2012/4/17,0.305608333,0.291258904,,
2012/4/18,0.336607897,0.273599244,,
2012/4/19,0.329356819,0.306044186,,
2012/4/20,0.330697876,0.296095523,,
2012/4/23,0.388258268,0.260589852,,
2012/4/24,0.279599371,0.237665109,,
2012/4/25,0.276443982,0.215841077,,
2012/4/26,0.369483578,0.210478775,,
2012/4/27,0.300765586,0.215801335,,
2012/5/2,0.313413015,0.235447119,,
2012/5/3,0.28725364,0.174480153,,
2012/5/4,0.286686825,0.198823065,,
2012/5/9,0.364911349,0.172834553,,
2012/5/10,0.323109136,0.11277209,,
2012/5/11,0.344074888,0.177886214,,
2012/5/14,0.344802485,0.213685268,,
2012/5/15,0.281871466,0.215443264,,
2012/5/16,0.274367041,0.23172895,,
2012/5/17,0.312942119,0.241173483,,
2012/5/18,0.316078245,0.247952856,,
2012/5/21,0.333067891,0.20614022,,
2012/5/22,0.349792896,0.24099748,,
2012/5/23,0.339153083,0.278979583,,
2012/5/24,0.345178142,0.271166592,,
2012/5/25,0.353181697,0.254085127,,
2012/5/29,0.372724894,0.241982335,,
2012/5/30,0.359156904,0.245688485,,
2012/5/31,0.349153037,0.259446078,,
2012/6/1,0.365007388,0.277768635,,
2012/6/4,0.384100761,0.31117556,,
2012/6/5,0.426088763,0.306752994,,
2012/6/6,0.431921117,0.261849565,,
2012/6/7,0.404592914,0.23459578,,
2012/6/8,0.38539042,0.214663107,,
2012/6/11,0.391300804,0.235663823,,
2012/6/12,0.435495339,0.227174902,,
2012/6/13,0.405223926,0.264736221,,
2012/6/14,0.447000175,0.203381839,,
2012/6/15,0.474191736,0.24620477,,
2012/6/18,0.529673432,0.260299616,,
2012/6/19,0.559974469,0.276185194,,
2012/6/20,0.461555953,0.238302435,,
2012/6/21,0.414199287,0.220031192,,
2012/6/25,0.400308517,0.165414968,,
2012/6/26,0.430422891,0.185981243,,
2012/6/27,0.418906403,0.212609732,,
2012/6/28,0.429140883,0.21147653,,
2012/6/29,0.428329964,0.232285232,,
2012/7/2,0.429729578,0.244407326,0.218447931,
2012/7/3,0.355051503,0.277214499,0.210288919,
2012/7/5,0.345171814,0.237905414,0.213884352,
2012/7/6,0.390885264,0.247435526,0.195921862,
2012/7/9,0.333427375,0.257940503,0.201428887,
2012/7/10,0.347854119,0.256389312,0.202087511,
2012/7/11,0.379486188,0.235061646,0.213906274,
2012/7/12,0.246823904,0.241548472,0.184761549,
2012/7/13,0.267059226,0.21455408,0.215246321,
2012/7/16,0.257084252,0.259451745,0.203709161,
2012/7/17,0.280791156,0.276276735,0.219171981,
2012/7/18,0.259716192,0.287089601,0.20945799,
2012/7/19,0.289239907,0.290249694,0.192427945,
2012/7/20,0.308426434,0.321550139,0.16729202,
2012/7/23,0.305622759,0.315238249,0.183888872,
2012/7/24,0.32501368,0.311780389,0.194456552,
2012/7/25,0.30768798,0.324451249,0.199583336,
2012/7/26,0.35397652,0.334922665,0.191113334,
2012/7/27,0.319988658,0.354889991,0.124136716,
2012/7/30,0.289104511,0.376758375,0.178108678,
2012/7/31,0.318414869,0.375355026,0.203721353,
2012/8/1,0.294098419,0.378284414,0.174948759,
2012/8/2,0.259815333,0.411837417,0.159930506,
2012/8/3,0.297291414,0.382505819,0.164330684,
2012/8/6,0.302705487,0.406072768,0.155400704,
2012/8/7,0.243880074,0.344376302,0.136106186,
2012/8/8,0.274478162,0.34298345,0.167294135,
2012/8/9,0.362697086,0.358374626,0.147155199,
2012/8/10,0.367633527,0.400790844,0.172629469,
2012/8/13,0.286418469,0.291308866,0.202546978,
2012/8/14,0.262260373,0.192524935,0.221497452,
2012/8/15,0.258016136,0.218627333,0.297626781,
2012/8/16,0.278336561,0.247200089,0.270727296,
2012/8/17,0.288400087,0.224654028,0.334646679,
2012/8/20,0.308709623,0.239294974,0.3538609,
2012/8/21,0.293559379,0.232005704,0.355718345,
2012/8/22,0.309038552,0.211284622,0.343183313,0.270091197
2012/8/23,0.304940462,0.204731589,0.310736473,0.25603338
2012/8/24,0.30798371,0.239733216,0.325574795,0.265102215
2012/8/27,0.310148151,0.243163395,0.312875553,0.308407903
2012/8/28,0.291197247,0.218156914,0.276622843,0.28399188
2012/8/29,0.267892081,0.252909084,0.271602383,0.295991582
2012/8/30,0.294033717,0.259367973,0.250153475,0.286767841
2012/8/31,0.329831333,0.253787077,0.271636245,0.275253823
2012/9/4,0.361120099,0.336392358,0.283931452,0.321770741
2012/9/5,0.35245407,0.311151261,0.342893669,0.344717908
2012/9/6,0.317245361,0.300671409,0.315470184,0.372653091
2012/9/7,0.316040918,0.296198301,0.348493363,0.379321988
2012/9/10,0.279154211,0.344354388,0.35386974,0.402477926
2012/9/11,0.256417473,0.324875702,0.372355085,0.393211123
2012/9/12,0.266263961,0.301246037,0.420481476,0.368769365
2012/9/13,0.242534023,0.274302066,0.432423366,0.397336125
2012/9/14,0.220684187,0.286442051,0.420713117,0.389504883
2012/9/17,0.26683375,0.285269161,0.482217233,0.382313467
2012/9/18,0.254727736,0.308775587,0.465537209,0.363760304
2012/9/19,0.222551409,0.344236649,0.355900789,0.356800735
2012/9/20,0.248407582,0.3296241,0.406656994,0.351958771
2012/9/21,0.23716113,0.379045473,0.381537753,0.304673575
2012/9/24,0.253893049,0.379827559,0.329957362,0.296721318
2012/9/25,0.266990227,0.318192117,0.302576302,0.331138513
2012/9/26,0.312530255,0.362024599,0.379279111,0.340613225
2012/9/27,0.280858499,0.347859433,0.373882824,0.306696681
2012/9/28,0.299385336,0.322249832,0.353092254,0.295383736
2012/10/8,0.335854856,0.288823366,0.371143803,0.304957053
2012/10/9,0.338230287,0.343195808,0.351128403,0.231267696
2012/10/10,0.333054703,0.334754404,0.313497412,0.222656092
2012/10/11,0.303523032,0.306671862,0.308105354,0.224910743
2012/10/12,0.271270778,0.314743117,0.284564974,0.260590168
2012/10/15,0.27377791,0.275516747,0.284134992,0.26408062
2012/10/16,0.295274049,0.290048576,0.301180599,0.308137007
2012/10/17,0.291688406,0.329875649,0.339829292,0.338248
2012/10/18,0.339500578,0.316921468,0.341798461,0.290214993
2012/10/19,0.399027243,0.311499244,0.33806118,0.302080488
2012/10/22,0.42924353,0.304045925,0.320538902,0.308193623
2012/10/23,0.421894971,0.281220088,0.3222063,0.303800964
2012/10/24,0.3641047,0.278992105,0.331841424,0.310454102
2012/10/25,0.313988212,0.335884224,0.339826401,0.324876361
2012/10/26,0.298244695,0.33151989,0.304616204,0.339890407
2012/10/29,0.370636923,0.364792253,0.273351862,0.297797976
2012/10/30,0.383630206,0.363965962,0.256779699,0.279925304
2012/10/31,0.366521028,0.381101304,0.265459392,0.349583917
2012/11/1,0.371553595,0.39068504,0.266386829,0.354595505
2012/11/2,0.363998413,0.366229462,0.291725338,0.363714564
2012/11/5,0.38968575,0.389275566,0.350650101,0.403896289
2012/11/6,0.357259266,0.345238907,0.333256984,0.39558923
2012/11/7,0.370848264,0.329116997,0.394460883,0.384496847
2012/11/8,0.296369347,0.328327677,0.336166383,0.392399685
2012/11/9,0.268249789,0.313027589,0.368743066,0.422037442
2012/11/12,0.263182513,0.269032639,0.354390586,0.437886059
2012/11/13,0.263331272,0.278004142,0.368864169,0.42516636
2012/11/14,0.253440782,0.281709793,0.356698672,0.388557337
2012/11/15,0.234014208,0.262745871,0.394683569,0.356261286
2012/11/16,0.232532348,0.258783822,0.438526849,0.383667585
2012/11/19,0.206218498,0.274092444,0.458562664,0.346409091
2012/11/20,0.218339206,0.276821435,0.463688093,0.366978273
2012/11/21,0.192416054,0.284846286,0.417072206,0.388052209
2012/11/23,0.229212782,0.284789642,0.409137068,0.432277347
2012/11/26,0.219636096,0.292324771,0.389200442,0.379943657
2012/11/27,0.23476685,0.299648915,0.416749104,0.388490652
2012/11/28,0.205618409,0.303833766,0.367283702,0.367716329
2012/11/29,0.160669237,0.305748026,0.404952028,0.334541412
2012/11/30,0.188370393,0.25510427,0.405682272,0.400148339
2012/12/3,0.21322592,0.303847782,0.422170038,0.367012244
2012/12/4,0.263849426,0.335668805,0.434907683,0.366940251
2012/12/5,0.265996488,0.341617206,0.459256073,0.321179586
2012/12/6,0.236573699,0.347843572,0.433400496,0.30870455
2012/12/7,0.23004994,0.362788892,0.383188692,0.382940259
2012/12/10,0.238890379,0.373158303,0.423455114,0.371679495
2012/12/11,0.218250247,0.365243225,0.390353296,0.290476282
2012/12/12,0.2335239,0.39648685,0.359662029,0.297689271
2012/12/13,0.257814665,0.290153207,0.317964538,0.298326603
2012/12/14,0.30667213,0.296150344,0.322587131,0.283852185
2012/12/17,0.283446642,0.266213473,0.315958975,0.307444535
2012/12/18,0.290163147,0.29582625,0.354955735,0.33478731
2012/12/19,0.280853831,0.271817341,0.377308783,0.337839453
2012/12/20,0.249489934,0.294471519,0.367005656,0.336643414
2012/12/21,0.223972558,0.318683136,0.383487865,0.363294326
2012/12/24,0.226924345,0.331985422,0.375945116,0.368382119
2012/12/26,0.262495616,0.318499436,0.377343455,0.322087084
2012/12/27,0.311358042,0.310387438,0.36364539,0.371318633
2012/12/28,0.278255953,0.322333963,0.358612609,0.403291239
2012/12/31,0.410544611,0.330155289,0.340522138,0.370218195
2013/1/4,0.404779529,0.331279785,0.320526439,0.331889095
2013/1/7,0.335688562,0.358645162,0.286745424,0.315171445
2013/1/8,0.355148353,0.36135921,0.283924437,0.351058446
2013/1/9,0.339971097,0.328806911,0.263283011,0.380023976
2013/1/10,0.303757439,0.333427583,0.246015408,0.361685126
2013/1/11,0.298919201,0.363759321,0.288048326,0.37622194
2013/1/14,0.263363721,0.361647601,0.279987435,0.353120009
2013/1/15,0.241873304,0.324067979,0.267101135,0.351496319
2013/1/16,0.272881932,0.374372791,0.283998178,0.378245998
2013/1/17,0.252230181,0.38251167,0.269527041,0.342238835
2013/1/18,0.254559583,0.35951418,0.330420096,0.384810866
2013/1/22,0.242235684,0.363823284,0.355854802,0.36231251
2013/1/23,0.300375315,0.378331761,0.396832988,0.418902583
2013/1/24,0.358037499,0.497330079,0.407806286,0.41636648
2013/1/25,0.338420338,0.494837675,0.416048374,0.40591393
2013/1/28,0.345922235,0.437574523,0.414053774,0.439814627
2013/1/29,0.289556201,0.393452805,0.350359443,0.407235185
2013/1/30,0.300221463,0.415077556,0.368224734,0.367493003
2013/1/31,0.311926411,0.464029715,0.315454094,0.414447844
2013/2/1,0.306534098,0.49481388,0.326230707,0.388371921
2013/2/4,0.366594626,0.483346241,0.367007746,0.372161107
2013/2/5,0.297002151,0.471924151,0.374283527,0.390524787
2013/2/6,0.269287891,0.44927913,0.3324876,0.354580668
2013/2/7,0.374054806,0.47150686,0.366117868,0.334601972
2013/2/8,0.366322955,0.516070417,0.377047482,0.366369266
